# DataSuite 2 reference corpus – slug <TAB> reference text, sorted by slug. See README.md.
ARTool	Kay M, Elkin L, Higgins J, Wobbrock J (2025). _ARTool: Aligned Rank Transform for Nonparametric Factorial ANOVAs_. doi:10.5281/zenodo.594511 <https://doi.org/10.5281/zenodo.594511>. R package version {version}, <https://github.com/mjskay/ARTool>.
DescTools	Signorell A (2025). _DescTools: Tools for Descriptive Statistics_. doi:10.32614/CRAN.package.DescTools <https://doi.org/10.32614/CRAN.package.DescTools>. R package version {version}.
FNN	Beygelzimer A, Kakadet S, Langford J, Arya S, Mount D, Li S (2024). _FNN: Fast Nearest Neighbor Search Algorithms and Applications_. doi:10.32614/CRAN.package.FNN <https://doi.org/10.32614/CRAN.package.FNN>. R package version {version}.
GPArotation	Bernaards C, Gilbert P, Jennrich R (2026). _GPArotation: Gradient Projection Factor Rotation_. doi:10.32614/CRAN.package.GPArotation <https://doi.org/10.32614/CRAN.package.GPArotation>. R package version {version}.
Hmisc	Harrell Jr F (2026). _Hmisc: Harrell Miscellaneous_. doi:10.32614/CRAN.package.Hmisc <https://doi.org/10.32614/CRAN.package.Hmisc>. R package version {version}.
Icens	Gentleman R, Vandal A (2026). _Icens: NPMLE for Censored and Truncated Data_. R package version {version}, <https://bioconductor.org/packages/Icens>.
MASS	Ripley B, Venables B (2025). _MASS: Support Functions and Datasets for Venables and Ripley's MASS_. doi:10.32614/CRAN.package.MASS <https://doi.org/10.32614/CRAN.package.MASS>. R package version {version}.
Rcsdp	Corrada Bravo H, Borchers B (2025). _Rcsdp: R Interface to the CSDP Semidefinite Programming Library_. doi:10.32614/CRAN.package.Rcsdp <https://doi.org/10.32614/CRAN.package.Rcsdp>. R package version {version}.
ResourceSelection	Lele SR, Keim JL, Solymos P (2023). _ResourceSelection: Resource Selection (Probability) Functions for Use-Availability Data_. doi:10.32614/CRAN.package.ResourceSelection <https://doi.org/10.32614/CRAN.package.ResourceSelection>. R package version {version}.
WRS2	Mair P, Wilcox R (2025). _WRS2: A Collection of Robust Statistical Methods_. doi:10.32614/CRAN.package.WRS2 <https://doi.org/10.32614/CRAN.package.WRS2>. R package version {version}.
XICOR	Holmes S, Chatterjee S (2023). _XICOR: Association Measurement Through Cross Rank Increments_. doi:10.32614/CRAN.package.XICOR <https://doi.org/10.32614/CRAN.package.XICOR>. R package version {version}.
aricode	Chiquet J, Rigaill G, Sundqvist M (2026). _aricode: Efficient Computations of Standard Clustering Comparison Measures_. doi:10.32614/CRAN.package.aricode <https://doi.org/10.32614/CRAN.package.aricode>. R package version {version}.
